Consumer country original,Consumer country clean,Commodity_std,rows,LUC_before_feedshare_MtCO2
RoW Africa,RoW Africa,Maize,426,227.9531204066139
RoW Asia and Pacific,RoW Asia and Pacific,Maize,422,84.06647411368165
RoW America,RoW America,Sorghum,161,70.80451961866335
RoW America,RoW America,Maize,344,63.39255104505031
RoW America,RoW America,Soybeans,198,46.62835506384185
RoW Africa,RoW Africa,Soybeans,236,35.58709219067555
RoW Africa,RoW Africa,Sorghum,223,35.20386977277593
RoW Asia and Pacific,RoW Asia and Pacific,Soybeans,240,31.612228519129594
RoW Middle East,RoW Middle East,Maize,411,23.864218531630485
México,México,Maize,253,20.580412315480853
RoW Middle East,RoW Middle East,Soybeans,239,20.15600426246151
Japan,Japan,Maize,333,12.649690650983796
RoW Asia and Pacific,RoW Asia and Pacific,Sorghum,208,11.913248008915739
RoW America,RoW America,Sunflower seed,127,10.346928730768377
Japan,Japan,Soybeans,206,8.965217905991391
RoW Africa,RoW Africa,Sunflower seed,144,8.790482346884957
UK and RoW Europe,UK and RoW Europe,Maize,393,7.33634372396066
UK and RoW Europe,UK and RoW Europe,Soybeans,237,7.120258485986866
México,México,Soybeans,142,6.198006030920816
RoW Middle East,RoW Middle East,Sorghum,212,4.808865329222875
Netherlands,Netherlands,Maize,350,4.029553787450804
RoW America,RoW America,Barley,120,3.9703886933177626
Taiwan,Taiwan,Maize,263,3.8082592681516783
Taiwan,Taiwan,Soybeans,147,3.190101494279715
Netherlands,Netherlands,Soybeans,173,3.07863010279243
RoW Asia and Pacific,RoW Asia and Pacific,Barley,213,2.7800204591764173
RoW Middle East,RoW Middle East,Sunflower seed,163,2.6214484608353845
Japan,Japan,Sorghum,136,1.9632165646622468
UK and RoW Europe,UK and RoW Europe,Sunflower seed,159,1.8801824048398645
RoW Asia and Pacific,RoW Asia and Pacific,Sunflower seed,161,1.6419577436409158
México,México,Barley,68,1.6116823261761746
RoW Africa,RoW Africa,Barley,200,1.528112462928665
UK and RoW Europe,UK and RoW Europe,Sorghum,170,1.438626158113167
RoW Middle East,RoW Middle East,Barley,222,1.0596390348989093
Japan,Japan,Barley,138,0.9853486827535111
Netherlands,Netherlands,Sorghum,139,0.9181540571545617
México,México,Sorghum,102,0.82943288604078
México,México,Sunflower seed,87,0.6185313369807218
Taiwan,Taiwan,Sorghum,91,0.6140069843018352
RoW America,RoW America,Rapeseed,108,0.5327626227332293
Japan,Japan,Sunflower seed,123,0.5183160303486872
Turkey,Turkey,Sorghum,72,0.5067842562158664
UK and RoW Europe,UK and RoW Europe,Barley,200,0.4459072196622266
Netherlands,Netherlands,Sunflower seed,121,0.2864422369004719
Indonesia,Indonesia,Sorghum,34,0.2786103526292352
RoW Asia and Pacific,RoW Asia and Pacific,Rapeseed,151,0.2447538621592295
Japan,Japan,Rapeseed,118,0.20213455965596344
Taiwan,Taiwan,Sunflower seed,73,0.1959736125916094
RoW Middle East,RoW Middle East,Rapeseed,150,0.1883843959534541
México,México,Rapeseed,59,0.1557795121901705
Netherlands,Netherlands,Barley,135,0.12302227779288073
Taiwan,Taiwan,Barley,62,0.11406048088418783
RoW Africa,RoW Africa,Rapeseed,121,0.10972270046817018
Czechia,Czechia,Sorghum,25,0.038671447414960806
Taiwan,Taiwan,Rapeseed,47,0.024678372397547867
Estonia,Estonia,Soybeans,15,0.016808383433273053
Finland,Finland,Sorghum,15,0.016247166159336197
Lithuania,Lithuania,Sunflower seed,13,0.016046109046830997
Slovakia,Slovakia,Sunflower seed,17,0.00876266379596912
Netherlands,Netherlands,Rapeseed,103,0.0056815146344592286
Cyprus,Cyprus,Sorghum,7,0.0038396139203897527
Latvia,Latvia,Sorghum,7,0.0037472159568296298
Indonesia,Indonesia,Rapeseed,10,0.00349758283760933
Lithuania,Lithuania,Sorghum,3,0.001981559404657831
UK and RoW Europe,UK and RoW Europe,Rapeseed,160,0.0019629565162720573
Croatia,Croatia,Sorghum,3,0.0014889500908911069
Cyprus,Cyprus,Rapeseed,1,2.70775188583315e-05
Slovenia,Slovenia,Rapeseed,13,-0.00034627706866423975
