Commodity_std,Year,Feed_t,DomesticUse_total_t,FeedShare_global_year
Barley,2018,79395475.83,145814091.75,0.5444979622828532
Barley,2019,93629754.27,160823375.77,0.5821899572852126
Barley,2020,88192396.10000001,159269453.03,0.5537307652044745
Barley,2021,81271796.39,157046643.28,0.51750100920718
Barley,2022,86233529.49,155616704.45,0.5541405711859618
Maize,2018,829330807.92,1368627909.82,0.6059578370201967
Maize,2019,864349944.02,1406760856.73,0.6144256430543368
Maize,2020,853278285.5600001,1400890941.36,0.60909686854826
Maize,2021,895016098.23,1457927498.79,0.6138961635422985
Maize,2022,911925902.05,1445365197.78,0.6309311331493709
Rapeseed,2018,59970936.75409836,90672863.6,0.6613989497305164
Rapeseed,2019,59414189.2295082,86496010.17999999,0.6869009230121255
Rapeseed,2020,60708153.27868853,90652656.27,0.6696787030473247
Rapeseed,2021,67610222.5409836,90957624.98,0.7433156104927972
Rapeseed,2022,69087699.67213115,98181360.76,0.7036742935455231
Sorghum,2018,21384244.85,56862954.71,0.3760663679729491
Sorghum,2019,19687180.95,50849570.9,0.38716513436694505
Sorghum,2020,21601287.37,57190592.54,0.3777070040827383
Sorghum,2021,26293533.57,65995265.89,0.3984154501904076
Sorghum,2022,24946299.14,65615093.49,0.38019147444790147
Soybeans,2018,377002295.275,459584399.81,0.8203113409220573
Soybeans,2019,375576506.3625,448313745.9,0.8377537155558809
Soybeans,2020,392344703.03749996,476350822.66999996,0.8236465318530652
Soybeans,2021,402020867.67499995,481766615.39,0.8344722420202483
Soybeans,2022,395759684.49999994,470671061.67,0.8408413364012541
Sunflower seed,2018,33154362.864406783,53600074.61,0.6185506849690332
Sunflower seed,2019,37792006.423728816,56480007.15,0.6691218420592714
Sunflower seed,2020,40020735.23728814,52691212.39,0.7595333912810758
Sunflower seed,2021,37351682.0,55155233.84,0.6772101104376352
Sunflower seed,2022,41112976.6779661,56112685.86,0.7326859523449321
