Consumer country,LUC_livestock_MtCO2,share_percent
Brazil,3363.472173801135,44.58821175391957
RoW America,1086.0366795302523,14.397155955862434
RoW Africa,866.8048645694943,11.49088705172006
China,480.9693292578587,6.376018944688921
RoW Asia and Pacific,375.59259295877786,4.979081497535788
United States,244.10998169109922,3.2360688575542538
RoW Middle East,230.92408501717466,3.061268674088543
Indonesia,121.1634063224207,1.606215047655605
México,87.29283513846407,1.1572063678930722
India,66.46112778553244,0.8810487157254056
Russia,60.76083664187168,0.8054822250755662
Germany,54.868138806384295,0.7273650755010415
France,48.573679367199944,0.6439219322703867
Japan,47.263873123245794,0.6265583522720328
UK and RoW Europe,45.84365539317334,0.6077310911522904
Italy,44.54773968516962,0.590551652459804
Taiwan,36.242516206147215,0.4804526107520279
Spain,35.035340682248005,0.4644495653565498
Republic of Korea,30.699908894461156,0.40697647189549974
Canada,30.62242838292821,0.40594934359577933
South Africa,27.732632663748216,0.3676404720504707
Australia,23.428414669335776,0.31058116742331127
Netherlands,20.252815293466117,0.268483510567458
Turkey,15.930794747471191,0.21118820460040263
Belgium,15.48708799783328,0.20530616084109896
Poland,9.39570763326796,0.1245551560655902
Norway,9.376716924920265,0.12430340380441213
Ireland,7.611814318476137,0.10090679248289146
Switzerland,6.83115777866851,0.09055793948058248
Sweden,6.662880195206702,0.08832715054072529
Portugal,6.4272355558117615,0.08520330335630115
Austria,4.540259377718941,0.06018841128769232
Denmark,4.408486784862232,0.05844155447721425
Hungary,3.971992588437377,0.05265512466484764
Czechia,3.5317691834053164,0.046819258218413484
Greece,3.4644401993475054,0.045926704677542875
Finland,3.2391874899177497,0.04294061917208512
Romania,2.955843106229695,0.03918443546479164
Luxembourg,2.5697711343232355,0.0340664330119382
Slovakia,1.6448714889188258,0.0218054065757328
Slovenia,1.3049991448894998,0.017299854199554116
Croatia,1.1026177203766996,0.01461696421416185
Estonia,1.0159656630709308,0.01346825238293062
Bulgaria,0.9918779518828211,0.013148931183995618
Lithuania,0.9864209205405552,0.013076589491701566
Latvia,0.5507927514862863,0.00730164025945843
Malta,0.43116204866150004,0.005715743651967373
Cyprus,0.27832387922690943,0.003689628878099799
