Consumer country clean,LUC_livestock_MtCO2,Share of Brazil-produced livestock LUC (%)
China,318.05462014608645,7.220291217676824
RoW Middle East,178.11189845544493,4.04339284740121
RoW America,123.14302843984697,2.7955214936163055
RoW Asia and Pacific,108.71543725906633,2.46799470011469
United States,68.2048251272628,1.5483463175078753
RoW Africa,33.97879523685524,0.7713668700150267
Taiwan,26.251694566092468,0.595950719526198
Italy,23.197350463686675,0.5266127740870334
Germany,22.37934363969716,0.508042858377152
Japan,16.78196628653658,0.3809744494149256
UK and RoW Europe,15.262982487446061,0.34649136163796096
Republic of Korea,13.890217277744105,0.31532764333388247
Spain,13.83262705112213,0.3140202634652559
India,11.814129688006517,0.26819750894242145
France,11.585006588864228,0.2629960894511903
Netherlands,8.493027155151927,0.19280376858436518
Russia,7.527716552946034,0.17088984807525198
Indonesia,7.395702303519142,0.16789293727638552
México,6.695770454078813,0.15200349104490152
Turkey,6.0085754476005775,0.13640318922307237
Belgium,5.839741547952972,0.13257042011469777
Canada,5.344354189993045,0.12132442410186421
Australia,4.199328606932233,0.09533071850000267
Portugal,3.428587589074243,0.07783380366258488
Poland,2.552961771667793,0.05795585503700925
Hungary,2.41485195834221,0.05482056628763762
Sweden,2.3504160434157924,0.05335777958001963
Ireland,2.0596627143698156,0.0467572664126375
Switzerland,2.0343864738097155,0.04618345988328052
South Africa,1.9580113282445109,0.04444963569761094
Austria,1.7564617813544292,0.039874174971183556
Norway,1.6257687329025945,0.03690725730932168
Romania,1.0789211465333852,0.024493041086159066
Czechia,0.932543293389706,0.021170056100026015
Greece,0.9169524936515329,0.020816122821602376
Denmark,0.9135100340117006,0.020737974102702235
Luxembourg,0.8922122267388461,0.020254483654623432
Finland,0.770791694564447,0.017498065270567936
Slovakia,0.5258717860985708,0.011938035790983166
Slovenia,0.5010426879911161,0.011374380029825699
Bulgaria,0.24336479996967086,0.005524726309919986
Croatia,0.23810806986057084,0.0054053910767987105
Lithuania,0.18391639252870906,0.004175163099821994
Estonia,0.1796567837388264,0.004078463935627484
Malta,0.12903171331968555,0.002929202996818604
Latvia,0.07837728319242455,0.0017792755509720443
Cyprus,0.072166647667907,0.0016382853112664585
